taxon_id	scientific_name	vernacular_name_en	vernacular_name_fi	taxon_rank	is_bird
MX.32183	Motacilla alba	White Wagtail	västäräkki	species	True
MX.32203	Anthus		kirviset	genus	True
MX.32204	Anthus richardi	Richard's Pipit	isokirvinen	species	True
MX.32207	Anthus campestris	Tawny Pipit	nummikirvinen	species	True
MX.32213	Anthus pratensis	Meadow Pipit	niittykirvinen	species	True
MX.32214	Anthus trivialis	Tree Pipit	metsäkirvinen	species	True
MX.32215	Anthus hodgsoni	Olive-backed Pipit	taigakirvinen	species	True
MX.32217	Anthus cervinus	Red-throated Pipit	lapinkirvinen	species	True
MX.32221	Anthus petrosus	Eurasian Rock Pipit	luotokirvinen	species	True
MX.32561	Lanius collurio	Red-backed Shrike	pikkulepinkäinen	species	True
MX.32568	Lanius minor	Lesser Grey Shrike	mustaotsalepinkäinen	species	True
MX.32570	Lanius excubitor	Great Grey Shrike	isolepinkäinen	species	True
MX.32578	Lanius senator	Woodchat Shrike	punapäälepinkäinen	species	True
MX.32608	Bombycilla garrulus	Bohemian Waxwing	tilhi	species	True
MX.32625	Cinclus cinclus	White-throated Dipper	koskikara	species	True
MX.32696	Troglodytes troglodytes	Eurasian Wren	peukaloinen	species	True
MX.32767	Prunella montanella	Siberian Accentor	taigarautiainen	species	True
MX.32772	Prunella modularis	Dunnock	rautiainen	species	True
MX.32775	Turdidae	Thrushes	rastaat	family	True
MX.32801	Erithacus rubecula	European Robin	punarinta	species	True
MX.32816	Tarsiger cyanurus	Red-flanked Bluetail	sinipyrstö	species	True
MX.32819	Luscinia luscinia	Thrush Nightingale	satakieli	species	True
MX.32820	Luscinia megarhynchos	Common Nightingale	etelänsatakieli	species	True
MX.32821	Luscinia svecica	Bluethroat	sinirinta	species	True
MX.32894	Phoenicurus ochruros	Black Redstart	mustaleppälintu	species	True
MX.32895	Phoenicurus phoenicurus	Common Redstart	leppälintu	species	True
MX.32949	Saxicola rubetra	Whinchat	pensastasku	species	True
MX.32953	Saxicola rubicola	European Stonechat	mustapäätasku	species	True
MX.32966	Oenanthe oenanthe	Northern Wheatear	kivitasku	species	True
MX.32971	Oenanthe pleschanka	Pied Wheatear	nunnatasku	species	True
MX.32979	Oenanthe isabellina	Isabelline Wheatear	arotasku	species	True
MX.33015	Monticola solitarius	Blue Rock Thrush	sinirastas	species	True
MX.33090	Turdus		rastaat	genus	True
MX.33104	Turdus torquatus	Ring Ouzel	sepelrastas	species	True
MX.33106	Turdus merula	Common Blackbird	mustarastas	species	True
MX.33115	Turdus atrogularis	Black-throated Thrush	mustakaularastas	species	True
MX.33117	Turdus pilaris	Fieldfare	räkättirastas	species	True
MX.33118	Turdus iliacus	Redwing	punakylkirastas	species	True
MX.33119	Turdus philomelos	Song Thrush	laulurastas	species	True
MX.33121	Turdus viscivorus	Mistle Thrush	kulorastas	species	True
MX.33492	Panurus biarmicus	Bearded Reedling	viiksitimali	species	True
MX.33534	Sylviidae	Sylvia Warblers, Parrotbills and allies	kertut	family	True
MX.33629	Locustella lanceolata	Lanceolated Warbler	viirusirkkalintu	species	True
MX.33630	Locustella naevia	Common Grasshopper Warbler	pensassirkkalintu	species	True
MX.33634	Locustella fluviatilis	River Warbler	viitasirkkalintu	species	True
MX.33635	Locustella luscinioides	Savi's Warbler	ruokosirkkalintu	species	True
MX.33641	Acrocephalus schoenobaenus	Sedge Warbler	ruokokerttunen	species	True
MX.33644	Acrocephalus agricola	Paddyfield Warbler	kenttäkerttunen	species	True
MX.33646	Acrocephalus scirpaceus	Common Reed Warbler	rytikerttunen	species	True
MX.33649	Acrocephalus palustris	Marsh Warbler	luhtakerttunen	species	True
MX.33650	Acrocephalus dumetorum	Blyth's Reed Warbler	viitakerttunen	species	True
MX.33651	Acrocephalus arundinaceus	Great Reed Warbler	rastaskerttunen	species	True
MX.33671	Iduna caligata	Booted Warbler	pikkukultarinta	species	True
MX.33676	Hippolais icterina	Icterine Warbler	kultarinta	species	True
MX.33873	Phylloscopus trochilus	Willow Warbler	pajulintu	species	True
MX.33874	Phylloscopus collybita	Common Chiffchaff	tiltaltti	species	True
MX.33878	Phylloscopus sibilatrix	Wood Warbler	sirittäjä	species	True
MX.33879	Phylloscopus fuscatus	Dusky Warbler	ruskouunilintu	species	True
MX.33887	Phylloscopus proregulus	Pallas's Leaf Warbler	hippiäisuunilintu	species	True
MX.33889	Phylloscopus inornatus	Yellow-browed Warbler	taigauunilintu	species	True
MX.33890	Phylloscopus borealis	Arctic Warbler	lapinuunilintu	species	True
MX.33891	Phylloscopus trochiloides	Greenish Warbler	idänuunilintu	species	True
MX.33933	Sylvia		kertut	genus	True
MX.33934	Sylvia atricapilla	Eurasian Blackcap	mustapääkerttu	species	True
MX.33935	Sylvia borin	Garden Warbler	lehtokerttu	species	True
MX.33936	Sylvia communis	Common Whitethroat	pensaskerttu	species	True
MX.33937	Sylvia curruca	Lesser Whitethroat	hernekerttu	species	True
MX.33939	Sylvia nisoria	Barred Warbler	kirjokerttu	species	True
MX.33943	Sylvia melanocephala	Sardinian Warbler	samettipääkerttu	species	True
MX.33952	Regulus ignicapilla	Common Firecrest	tulipäähippiäinen	species	True
MX.33954	Regulus regulus	Goldcrest	hippiäinen	species	True
MX.33989	Muscicapa striata	Spotted Flycatcher	harmaasieppo	species	True
MX.34021	Ficedula hypoleuca	European Pied Flycatcher	kirjosieppo	species	True
MX.34022	Ficedula albicollis	Collared Flycatcher	sepelsieppo	species	True
MX.34029	Ficedula parva	Red-breasted Flycatcher	pikkusieppo	species	True
MX.34505	Aegithalos caudatus	Long-tailed Tit	pyrstötiainen	species	True
MX.34517	Remiz pendulinus	Eurasian Penduline Tit	pussitiainen	species	True
MX.34530	Paridae	Tits	tiaiset	family	True
MX.34531	Parus		talitiaiset	genus	True
MX.34532	Poecile palustris	Marsh Tit	viitatiainen	species	True
MX.34535	Poecile montanus	Willow Tit	hömötiainen	species	True
MX.34542	Poecile cinctus	Siberian Tit	lapintiainen	species	True
MX.34549	Periparus ater	Coal Tit	kuusitiainen	species	True
MX.34553	Lophophanes cristatus	European Crested Tit	töyhtötiainen	species	True
MX.34567	Parus major	Great Tit	talitiainen	species	True
MX.34574	Cyanistes caeruleus	Eurasian Blue Tit	sinitiainen	species	True
MX.34575	Cyanistes cyanus	Azure Tit	valkopäätiainen	species	True
MX.34586	Sitta europaea	Eurasian Nuthatch	pähkinänakkeli	species	True
MX.34616	Certhia familiaris	Eurasian Treecreeper	puukiipijä	species	True
MX.35145	Emberiza calandra	Corn Bunting	harmaasirkku	species	True
MX.35146	Emberiza citrinella	Yellowhammer	keltasirkku	species	True
MX.35147	Emberiza leucocephalos	Pine Bunting	mäntysirkku	species	True
MX.35154	Emberiza hortulana	Ortolan Bunting	peltosirkku	species	True
MX.35165	Emberiza pusilla	Little Bunting	pikkusirkku	species	True
MX.35167	Emberiza rustica	Rustic Bunting	pohjansirkku	species	True
MX.35169	Emberiza aureola	Yellow-breasted Bunting	kultasirkku	species	True
MX.35179	Emberiza spodocephala	Black-faced Bunting	harmaapääsirkku	species	True
MX.35182	Emberiza schoeniclus	Common Reed Bunting	pajusirkku	species	True
MX.35185	Calcarius lapponicus	Lapland Longspur	lapinsirkku	species	True
MX.35189	Plectrophenax nivalis	Snow Bunting	pulmunen	species	True
MX.36235	Fringillidae	Finches, Euphonias and Hawaiian Honeycreepers	peipot	family	True
MX.36237	Fringilla coelebs	Common Chaffinch	peippo	species	True
MX.36239	Fringilla montifringilla	Brambling	järripeippo	species	True
MX.36242	Serinus serinus	European Serin	keltahemppo	species	True
MX.36283	Carduelis chloris	European Greenfinch	viherpeippo	species	True
MX.36287	Carduelis spinus	Eurasian Siskin	vihervarpunen	species	True
MX.36306	Carduelis carduelis	European Goldfinch	tikli	species	True
MX.36308	Carduelis flammea	Common Redpoll	urpiainen	species	True
MX.36309	Carduelis flavirostris	Twite	vuorihemppo	species	True
MX.36310	Carduelis cannabina	Common Linnet	hemppo	species	True
MX.36331	Carpodacus erythrinus	Common Rosefinch	punavarpunen	species	True
MX.36351	Pinicola enucleator	Pine Grosbeak	taviokuurna	species	True
MX.36355	Loxia		käpylinnut	genus	True
MX.36356	Loxia pytyopsittacus	Parrot Crossbill	isokäpylintu	species	True
MX.36358	Loxia curvirostra	Red Crossbill	pikkukäpylintu	species	True
MX.36359	Loxia leucoptera	Two-barred Crossbill	kirjosiipikäpylintu	species	True
MX.36366	Pyrrhula pyrrhula	Eurasian Bullfinch	punatulkku	species	True
MX.36368	Coccothraustes coccothraustes	Hawfinch	nokkavarpunen	species	True
MX.36571	Passer		varpuset	genus	True
MX.36573	Passer domesticus	House Sparrow	varpunen	species	True
MX.36574	Passer hispaniolensis	Spanish Sparrow	pensasvarpunen	species	True
MX.36589	Passer montanus	Eurasian Tree Sparrow	pikkuvarpunen	species	True
MX.36816	Pastor roseus	Rosy Starling	punakottarainen	species	True
MX.36817	Sturnus vulgaris	Common Starling	kottarainen	species	True
MX.36871	Oriolus oriolus	Eurasian Golden Oriole	kuhankeittäjä	species	True
MX.37090	Garrulus glandarius	Eurasian Jay	närhi	species	True
MX.37095	Perisoreus infaustus	Siberian Jay	kuukkeli	species	True
MX.37122	Pica pica	Eurasian Magpie	harakka	species	True
MX.37135	Nucifraga caryocatactes	Spotted Nutcracker	pähkinähakki	species	True
MX.37142	Corvus monedula	Western Jackdaw	naakka	species	True
MX.37156	Corvus frugilegus	Rook	mustavaris	species	True
MX.37178	Corvus corax	Northern Raven	korppi	species	True
MX.37612	Mammalia	Mammals	nisäkkäät	class	False
MX.46587	Vulpes vulpes	Red Fox	kettu	species	False
MX.47507	Capreolus capreolus	Roe Deer	metsäkauris	species	False
